Week,Home,Away,Predicted,Actual,PredProb,VegasLine,Margin,HomeScore,AwayScore,HomeRest,AwayRest,Roof,Surface,Temp,Wind,HomeTurnovers,AwayTurnovers,HomeRushEPA,AwayRushEPA,HomePassEPA,AwayPassEPA
12,CLE,PIT,PIT,CLE,0.3663,3.5,5.0,24.0,19.0,4,4,unknown,unknown,N/A,N/A,3.0,1.0,0,0,0,0
12,HOU,TEN,HOU,TEN,0.7546,-8.0,5.0,27.0,32.0,6,7,unknown,unknown,N/A,N/A,2.0,2.0,0,0,0,0
12,WAS,DAL,WAS,DAL,0.8129,-10.5,8.0,26.0,34.0,10,6,unknown,unknown,N/A,N/A,3.0,1.0,0,0,0,0
12,SEA,ARI,ARI,SEA,0.4478,1.0,10.0,16.0,6.0,7,14,unknown,unknown,N/A,N/A,1.0,1.0,0,0,0,0
13,CIN,PIT,CIN,PIT,0.5667,-3.0,6.0,38.0,44.0,14,10,unknown,unknown,N/A,N/A,3.0,1.0,0,0,0,0
13,NYJ,SEA,NYJ,SEA,0.5126,-1.0,5.0,21.0,26.0,14,7,unknown,unknown,N/A,N/A,2.0,0.0,0,0,0,0
13,NO,LA,NO,LA,0.5425,2.5,7.0,14.0,21.0,14,7,unknown,unknown,N/A,N/A,0.0,0.0,0,0,0,0
13,BAL,PHI,BAL,PHI,0.5141,-3.0,5.0,19.0,24.0,6,7,unknown,unknown,N/A,N/A,0.0,0.0,0,0,0,0
14,TEN,JAX,TEN,JAX,0.6099,-3.0,4.0,6.0,10.0,7,7,unknown,unknown,N/A,N/A,0.0,2.0,0,0,0,0
14,ARI,SEA,ARI,SEA,0.599,-3.0,12.0,18.0,30.0,7,7,unknown,unknown,N/A,N/A,2.0,0.0,0,0,0,0
14,LA,BUF,BUF,LA,0.3664,3.5,2.0,44.0,42.0,7,7,unknown,unknown,N/A,N/A,0.0,0.0,0,0,0,0
15,SF,LA,SF,LA,0.5879,-3.0,6.0,6.0,12.0,4,4,unknown,unknown,N/A,N/A,1.0,0.0,0,0,0,0
15,CAR,DAL,CAR,DAL,0.5856,-2.5,16.0,14.0,30.0,7,6,unknown,unknown,N/A,N/A,4.0,1.0,0,0,0,0
15,DET,BUF,DET,BUF,0.6022,-2.5,6.0,42.0,48.0,10,7,unknown,unknown,N/A,N/A,1.0,0.0,0,0,0,0
15,LAC,TB,LAC,TB,0.5803,-3.0,23.0,17.0,40.0,7,7,unknown,unknown,N/A,N/A,2.0,2.0,0,0,0,0
16,CAR,ARI,ARI,CAR,0.3207,5.5,6.0,36.0,30.0,7,7,unknown,unknown,N/A,N/A,0.0,2.0,0,0,0,0
16,WAS,PHI,PHI,WAS,0.3671,4.0,3.0,36.0,33.0,7,7,unknown,unknown,N/A,N/A,5.0,1.0,0,0,0,0
16,MIA,SF,SF,MIA,0.4777,2.0,12.0,29.0,17.0,7,10,unknown,unknown,N/A,N/A,0.0,1.0,0,0,0,0
16,DAL,TB,TB,DAL,0.3468,4.5,2.0,26.0,24.0,7,7,unknown,unknown,N/A,N/A,0.0,2.0,0,0,0,0
17,JAX,TEN,TEN,JAX,0.4981,1.0,7.0,20.0,13.0,7,7,unknown,unknown,N/A,N/A,0.0,1.0,0,0,0,0
17,NYG,IND,IND,NYG,0.2623,7.5,12.0,45.0,33.0,7,7,unknown,unknown,N/A,N/A,0.0,3.0,0,0,0,0
17,MIN,GB,GB,MIN,0.481,1.0,2.0,27.0,25.0,7,6,unknown,unknown,N/A,N/A,1.0,1.0,0,0,0,0
18,ATL,CAR,ATL,CAR,0.7483,-7.5,6.0,38.0,44.0,7,7,unknown,unknown,N/A,N/A,1.0,0.0,0,0,0,0
18,GB,CHI,GB,CHI,0.8128,-10.0,2.0,22.0,24.0,7,10,unknown,unknown,N/A,N/A,2.0,2.0,0,0,0,0
18,NE,BUF,BUF,NE,0.3455,3.0,7.0,23.0,16.0,8,7,unknown,unknown,N/A,N/A,1.0,0.0,0,0,0,0
18,TEN,HOU,TEN,HOU,0.5525,-2.5,9.0,14.0,23.0,7,11,unknown,unknown,N/A,N/A,1.0,1.0,0,0,0,0
