Week,Home,Away,HomeScore,AwayScore,Margin,Predicted_Prob,Correct,Vegas,Elo_Diff,QB_Diff,EPA_Diff,HomeRest,AwayRest,HomeTurnovers,AwayTurnovers,Regimes
3,TEN,GB,14.0,30.0,16.0,0.04752697494441142,True,-3.0,-143.61182592915816,-53.22568617846309,-26.311124563217163,7,7,3.0,0.0,"MEDIUM_SPREAD,EARLY_SEASON"
3,LV,CAR,22.0,36.0,14.0,0.2382816423405079,True,-5.5,231.90114337991872,18.643751768855054,-18.383356750011444,7,7,1.0,0.0,"MEDIUM_SPREAD,EARLY_SEASON"
3,SEA,MIA,24.0,3.0,21.0,0.9310843050307426,True,-4.0,2.9031711707430077,27.527192378101063,23.843295097351074,7,10,2.0,0.0,"MEDIUM_SPREAD,EARLY_SEASON,MAJOR_REST_ADVANTAGE"
3,ARI,DET,13.0,20.0,7.0,0.06345427225959609,True,3.0,-175.424608127714,-63.620318593809316,-13.87979507446289,7,7,1.0,1.0,"MEDIUM_SPREAD,EARLY_SEASON"
3,DAL,BAL,25.0,28.0,3.0,0.19379647007578898,True,1.5,17.011704494862897,-8.731714905404033,-14.451187372207642,7,7,1.0,0.0,"CLOSE_GAME,EARLY_SEASON"
3,LA,SF,27.0,24.0,3.0,0.21243407767126932,False,6.0,-44.745315393210376,-53.77909473597947,-6.443992853164673,7,7,0.0,1.0,"MEDIUM_SPREAD,DIVISION_GAME,EARLY_SEASON"
3,ATL,KC,17.0,22.0,5.0,0.15462200643566404,True,3.0,-158.764839537361,-41.59789057391504,-12.337700366973877,6,7,1.0,1.0,"MEDIUM_SPREAD,EARLY_SEASON,MINOR_REST_ADVANTAGE"
3,BUF,JAX,47.0,10.0,37.0,0.9989593736868587,True,-4.0,189.98225202488015,90.89257602870293,42.89739227294922,11,8,0.0,2.0,"MEDIUM_SPREAD,EARLY_SEASON,MAJOR_REST_ADVANTAGE"
3,CIN,WAS,33.0,38.0,5.0,0.4926386406991498,True,-7.5,156.4057612529516,-15.276957954127738,-2.6404247283935547,8,8,0.0,0.0,"BLOWOUT_EXPECTED,EARLY_SEASON"
4,NYG,DAL,15.0,20.0,5.0,0.019628336030343155,True,5.5,-156.6240424675891,-86.86295300831057,-13.271944284439087,4,4,1.0,0.0,"MEDIUM_SPREAD,DIVISION_GAME,EARLY_SEASON"
